Wavelength	Intensity
716.77815010983988	455.79998779296875
717.05299078843643	370.14999389648438
717.32782686154576	414.64999389648438
717.60265832765072	589.29998779296875
717.87748518523244	635.4000244140625
718.1523074327738	705.20001220703125
718.42712506875682	609.6500244140625
718.70193809166415	458.85000610351563
718.97674649997748	433.10000610351563
719.25155029218	387.25
719.526349466754	380.79998779296875
719.8011440221826	444.89999389648438
720.07593395694812	524.3499755859375
720.3507192695339	471.5
720.62549995842244	579.3499755859375
720.90027602209693	701.5999755859375
721.175047459041	628.5999755859375
721.44981426773722	459.79998779296875
721.72457644666883	400.14999389648438
721.99933399432064	487.45001220703125
722.27408690917446	492.54998779296875
722.54883518971508	483.14999389648438
722.82357883442546	455.10000610351563
723.09831784178971	415.64999389648438
723.37305221029214	428.89999389648438
723.64778193841607	536.04998779296875
723.92250702464582	517.9000244140625
724.19722746746538	628.79998779296875
724.47194326535907	735.5999755859375
724.74665441681134	667.9000244140625
725.02136092030673	642.04998779296875
725.29606277432958	625.70001220703125
725.57075997736422	577.25
725.8454525278961	657.3499755859375
726.12014042440887	624.54998779296875
726.39482366538914	654.5
726.66950224932009	667.79998779296875
726.944176174688	646.54998779296875
727.2188454399768	564.04998779296875
727.49351004367338	531.70001220703125
727.76816998426159	576.54998779296875
728.04282526022746	601.6500244140625
728.31747587005691	607.75
728.59212181223529	732.75
728.8667630852475	731.45001220703125
729.1413996875807	600.5
729.41603161771968	666.1500244140625
729.690658874151	838.70001220703125
729.9652814553607	1032.5999755859375
730.23989935983468	844.75
730.514512586059	705.25
730.7891211325209	763.1500244140625
731.06372499770589	689.6500244140625
731.33832418010127	641.54998779296875
731.61291867819284	719.6500244140625
731.88750849046789	826.1500244140625
732.1620936154128	821.8499755859375
732.43667405151507	832
732.71124979726142	902.29998779296875
732.98582085113833	915.3499755859375
733.26038721163388	984.75
733.53494887723514	1078.75
733.80950584642858	1115
734.084058117703	1115.199951171875
734.35860568954536	1189.050048828125
734.63314856044258	1043.050048828125
734.90768672888362	1049.699951171875
735.18222019335553	1115.550048828125
735.4567489523464	1010.3499755859375
735.73127300434419	1060.300048828125
736.00579234783731	1166.800048828125
736.28030698131329	1119.5999755859375
736.554816903261	1208.550048828125
736.82932211216882	1432.75
737.10382260652443	1469.550048828125
737.37831838481782	1343.199951171875
737.65280944553626	1297.6500244140625
