,T,A,G,E,Date,Time,Substrate,E_pump,n,PLQY
0,120,1,15,1380,2022-Oct-26,12:17:47,Silicon,8.58706864e-08,9.351565107440783e+17,4.1113665645198616e-14
0,160,1,8,2040,2022-Oct-26,14:42:19,Silicon,2.0213021440000007e-07,2.2012562602999823e+18,5.4351173320639236e-14
0,240,200,100,300,2022-Oct-26,16:07:08,Silicon,2.4189999999999996e-09,2.6343606815397784e+16,2.4655287583503986e-15
0,280,2,100,1400,2022-Oct-26,17:39:31,Silicon,8.882399999999998e-08,9.673189465774668e+17,7.633830116290768e-15
0,280,80,100,450,2022-Oct-26,17:26:36,Silicon,5.704937500000001e-09,6.212841273518746e+16,2.2230853374991512e-15
0,80,1,60,660,2022-Oct-26,13:58:58,Silicon,1.4147166400000001e-08,1.5406671731856413e+17,4.7729117543783976e-14
0,160,1,50,1000,2022-Oct-26,14:38:17,Silicon,3.94e-08,4.290773495356233e+17,3.3539209270413124e-14
0,160,2,100,680,2022-Oct-26,14:36:41,Silicon,1.52183424e-08,1.6573213252075117e+17,1.833463829890746e-14
0,160,1,15,1400,2022-Oct-26,14:39:33,Silicon,8.882399999999998e-08,9.673189465774668e+17,4.2974629827193896e-14
0,80,3,100,450,2022-Oct-26,13:57:15,Silicon,5.704937500000001e-09,6.212841273518746e+16,2.685913268475982e-14
0,160,40,100,300,2022-Oct-26,14:33:00,Silicon,2.4189999999999996e-09,2.6343606815397784e+16,1.0369118444524024e-14
0,120,10,100,440,2022-Oct-26,11:58:14,Silicon,5.4213504e-09,5.9040067526291656e+16,1.0585790487248923e-14
0,200,3,100,800,2022-Oct-26,15:21:52,Silicon,2.2704000000000006e-08,2.4725310009788816e+17,9.235212803729434e-15
0,120,3,100,664,2022-Oct-26,12:00:21,Silicon,1.4357472931840004e-08,1.5635701603104986e+17,1.542241359707982e-14
0,200,1,80,1080,2022-Oct-26,15:11:45,Silicon,4.759479040000001e-08,5.18320977577044e+17,1.8194173251637288e-14
0,80,20,100,200,2022-Oct-26,14:22:46,Silicon,1.2240000000000001e-09,1.3329712584558448e+16,1.7979435156671648e-14
0,280,1,20,2100,2022-Oct-26,17:34:07,Silicon,2.13739e-07,2.3276792795024005e+18,1.846407609229795e-14
0,240,1,100,1200,2022-Oct-26,16:22:00,Silicon,6.150399999999999e-08,6.697962767979433e+17,1.1125590060674802e-14
0,160,1,10,1660,2022-Oct-26,14:40:38,Silicon,1.311433264e-07,1.4281886015481505e+18,4.4157000805973925e-14
0,240,10,100,800,2022-Oct-26,16:25:41,Silicon,2.2704000000000006e-08,2.4725310009788816e+17,5.482913086181798e-15
0,120,1,50,1000,2022-Oct-26,12:04:47,Silicon,3.94e-08,4.290773495356233e+17,2.464214759866447e-14
0,240,1,80,1600,2022-Oct-26,16:16:40,Silicon,1.2078400000000003e-07,1.3153725529520492e+18,9.649300883440257e-15
0,120,1,40,1000,2022-Oct-26,12:20:32,Silicon,3.94e-08,4.290773495356233e+17,2.7215061898474506e-14
0,160,15,100,400,2022-Oct-26,14:53:19,Silicon,4.384000000000001e-09,4.774302285188256e+16,1.1492780396976537e-14
